종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
블루산업개발,006740,-210,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-01: 기업지배구조보고서공시               | 2026-05-29: 단기차입금증가결정               | 2026-05-29: [기재정정]주식매수선택권부여에관한신고 | 2026-05-26: 주식등의대량보유상황보고서(일반) | 2026-05-26: 주식등의대량보유상황보고서(약식),26
알엔티엑스,123010,-145,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정),,최대주주변경              (-5) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-02: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-06-02: 주식등의대량보유상황보고서(일반) | 2026-06-02: [기재정정]주요사항보고서(자기전환사채매도결정) | 2026-06-01: 주주명부폐쇄기간또는기준일설정               | 2026-06-01: 주주총회소집결의              (임시주주총회),32
아이톡시,052770,-120,🚨 YES,기타주요경영사항              (제3자배정 유상증자결정 철회) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,기타주요경영사항              (제3자배정 유상증자결정 철회)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 기타주요경영사항              (소액공모 제3자배정 유상증자결정 철회)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-01: 기타주요경영사항              (제3자배정 유상증자결정 철회) | 2026-06-01: [기재정정]주요사항보고서(유상증자결정) | 2026-05-26: [기재정정]소송등의제기ㆍ신청(일정금액이상의청구)               | 2026-05-22: 소송등의제기ㆍ신청(일정금액이상의청구)               | 2026-05-15: 소액공모실적보고서,15
플루토스,019570,-110,🚨 YES,[기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20),2026-06-02: 대표이사변경               | 2026-06-01: [기재정정]주식병합결정               | 2026-06-01: 상호변경안내               | 2026-06-01: 임시주주총회결과               | 2026-05-29: 증권발행결과(자율공시)              ,27
파이온엑스,900100,-105,🚨 YES,"[기재정정]주요사항보고서(전환사채권발행결정) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | [첨부정정]주요사항보고서(전환사채권발행결정)",,"[기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15)","2026-05-29: 분기보고서 (2026.03) | 2026-05-28: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-26: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-05-26: [첨부정정]주요사항보고서(전환사채권발행결정) | 2026-05-14: [기재정정]주요사항보고서(전환사채권발행결정)",10
엠젠솔루션,032790,-105,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | 주권매매거래정지해제              (액면병합 주권 변경상장),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-01: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-28: [기재정정]주요사항보고서(자기전환사채매도결정) | 2026-05-28: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-26: 주권매매거래정지해제              (액면병합 주권 변경상장) | 2026-05-22: [첨부정정]주요사항보고서(전환사채권발행결정),11
EDGC,245620,-100,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-05-26: [기재정정]주요사항보고서(유상증자결정) | 2026-05-26: [기재정정]주요사항보고서(감자결정) | 2026-05-26: [기재정정]주요사항보고서(유상증자결정) | 2026-05-22: [기재정정]주요사항보고서(유상증자결정) | 2026-05-22: [기재정정]주요사항보고서(감자결정),18
한국앤컴퍼니,000240,-97,🚨 YES,횡령ㆍ배임사실확인(자회사의 주요경영사항)               | 횡령ㆍ배임사실확인(자회사의 주요경영사항)               | 횡령ㆍ배임사실확인              ,연결재무제표기준영업(잠정)실적(공정공시)              (+3),횡령ㆍ배임사실확인(자회사의 주요경영사항)              (-25) | 횡령ㆍ배임사실확인(자회사의 주요경영사항)              (-25) | 횡령ㆍ배임사실확인              (-25) | 횡령ㆍ배임사실확인              (-25),2026-06-01: 대규모기업집단현황공시[연1회(동일인용)] | 2026-06-01: 대규모기업집단현황공시[연1회공시및1/4분기용(대표회사)] | 2026-06-01: 기업지배구조보고서공시               | 2026-05-15: 분기보고서 (2026.03) | 2026-05-14: 특수관계인에대한출자,10
소룩스,290690,-97,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [첨부정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),[기재정정]주요사항보고서(회사합병결정)(+3) | 단일판매ㆍ공급계약체결              (+5),[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-02: 주요사항보고서(자기전환사채매도결정) | 2026-06-02: 전환청구권행사              (제3회차 CB) | 2026-05-29: 주요사항보고서(자기전환사채만기전취득결정) | 2026-05-29: 주요사항보고서(자기전환사채만기전취득결정) | 2026-05-29: [기재정정]주요사항보고서(전환사채권발행결정),24
한국유니온제약,080720,-90,🚨 YES,주권매매거래정지기간변경              (투자자 보호) | 주요사항보고서(유상증자결정) | 주요사항보고서(감자결정),,최대주주변경              (-5) | 주권매매거래정지기간변경              (투자자 보호)(-30) | 최대주주변경              (-5) | 주요사항보고서(유상증자결정)(-15) | 주요사항보고서(감자결정)(-20),2026-05-27: 최대주주변경               | 2026-05-27: 증권발행결과(자율공시)              (제3자배정 유상증자) | 2026-05-26: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-05-26: 주식등의대량보유상황보고서(약식) | 2026-05-20: 기타시장안내              (상장폐지 절차 관련 안내),13
