종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
우성머티리얼스,011300,-195,🚨 YES,[기재정정]주요사항보고서(신주인수권부사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(신주인수권부사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-04-30: [기재정정]주요사항보고서(타법인주식및출자증권양수결정) | 2026-04-29: [기재정정]주요사항보고서(신주인수권부사채권발행결정) | 2026-04-29: [기재정정]주요사항보고서(유상증자결정) | 2026-04-29: [기재정정]주요사항보고서(유상증자결정) | 2026-04-29: [기재정정]주요사항보고서(유상증자결정),21
블루산업개발,006740,-180,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-05-11: [기재정정]주요사항보고서(유상증자결정) | 2026-05-11: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-11: [기재정정]주요사항보고서(유상증자결정) | 2026-05-11: [기재정정]주요사항보고서(유상증자결정) | 2026-05-11: [기재정정]주요사항보고서(유상증자결정),15
넥사다이내믹스,351320,-150,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-05-08: 증권발행결과(자율공시)               | 2026-05-04: 시설외투자등               | 2026-04-30: 증권발행결과(자율공시)               | 2026-04-30: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-04-30: [기재정정]주요사항보고서(전환사채권발행결정),20
한울앤제주,276730,-120,🚨 YES,주요사항보고서(유상증자결정) | 주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정),,주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지해제              (감자 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-05-11: 주식등의대량보유상황보고서(일반) | 2026-05-08: 분기보고서 (2026.03) | 2026-05-07: 임원ㆍ주요주주특정증권등거래계획철회보고서 | 2026-05-06: 주요사항보고서(유상증자결정) | 2026-05-06: 주요사항보고서(전환사채권발행결정),26
유일에너테크,340930,-120,🚨 YES,주권매매거래정지기간변경              (회생절차 개시결정) | 주권매매거래정지기간변경              (개선기간 부여) | [기재정정]주요사항보고서(유상증자결정),,주권매매거래정지기간변경              (회생절차 개시결정)(-30) | 주권매매거래정지기간변경              (개선기간 부여)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지기간변경              (회생절차 개시신청)(-30),2026-05-11: 주권매매거래정지기간변경              (회생절차 개시결정) | 2026-05-11: 주요사항보고서(부도발생) | 2026-05-11: 회생절차개시결정               | 2026-05-04: 주권매매거래정지기간변경              (개선기간 부여) | 2026-05-04: 기타시장안내              (상장폐지 관련 이의신청서 접수 및 개선기간 부여),19
케이이엠텍,106080,-115,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주권매매거래정지기간변경              (상장폐지 사유 발생),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지기간변경              (상장폐지 사유 발생)(-30) | 기타경영사항(자율공시)              (감사의견거절 사유 해소에 대한 감사인의 확인서 미제출)(-25) | 주권매매거래정지기간변경              (감자 주권 변경상장)(-30),2026-05-11: 주식등의대량보유상황보고서(약식) | 2026-05-08: 주식등의대량보유상황보고서(약식) | 2026-04-30: 주주명부폐쇄기간또는기준일설정               | 2026-04-30: 주주총회소집결의              (임시주주총회) | 2026-04-29: [기재정정]주요사항보고서(유상증자결정),13
진원생명과학,011000,-110,🚨 YES,[기재정정]유상증자결정(종속회사의주요경영사항)               | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]유상증자결정(종속회사의주요경영사항)              (-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-05-07: 유상증자또는주식관련사채등의발행결과(자율공시)               | 2026-04-30: [기재정정]유상증자결정(종속회사의주요경영사항)               | 2026-04-30: [기재정정]타법인주식및출자증권취득결정               | 2026-04-29: [기재정정]의결권대리행사권유참고서류 | 2026-04-29: [기재정정]의결권대리행사권유참고서류,19
아이톡시,052770,-105,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 기타주요경영사항              (제3자배정 유상증자결정 철회)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-05-08: [기재정정]소액공모공시서류(지분증권) | 2026-05-07: [기재정정]주요사항보고서(유상증자결정) | 2026-05-07: [기재정정]주요사항보고서(유상증자결정) | 2026-04-30: [기재정정]소액공모공시서류(지분증권) | 2026-04-30: [기재정정]주요사항보고서(유상증자결정),10
한국앤컴퍼니,000240,-100,🚨 YES,횡령ㆍ배임사실확인(자회사의 주요경영사항)               | 횡령ㆍ배임사실확인(자회사의 주요경영사항)               | 횡령ㆍ배임사실확인              ,,횡령ㆍ배임사실확인(자회사의 주요경영사항)              (-25) | 횡령ㆍ배임사실확인(자회사의 주요경영사항)              (-25) | 횡령ㆍ배임사실확인              (-25) | 횡령ㆍ배임사실확인              (-25),2026-05-08: 횡령ㆍ배임사실확인(자회사의 주요경영사항)               | 2026-05-08: 횡령ㆍ배임사실확인               | 2026-05-08: 풍문또는보도에대한해명(미확정)               | 2026-05-06: 기업설명회(IR)개최(안내공시)              ,4
캔버스엔,210120,-90,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-05-11: 임시주주총회결과               | 2026-05-08: 증권발행결과(자율공시)              (제7회차 CB) | 2026-05-08: 주요사항보고서(자기전환사채만기전취득결정) | 2026-05-07: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-07: [기재정정]주요사항보고서(유상증자결정),18
다원시스,068240,-90,🚨 YES,주권매매거래정지기간변경              (상장적격성 실질심사 대상(사유발생)) | 주권매매거래정지기간변경              (회생절차 개시결정) | 주권매매거래정지기간변경              (개선기간 부여),,주권매매거래정지기간변경              (상장적격성 실질심사 대상(사유발생))(-30) | 주권매매거래정지기간변경              (회생절차 개시결정)(-30) | 주권매매거래정지기간변경              (개선기간 부여)(-30),2026-05-07: 단일판매ㆍ공급계약해지               | 2026-04-21: 기타시장안내              (상장적격성 실질심사 대상결정 기한 안내) | 2026-04-20: 기타시장안내              (상장적격성 실질심사 관련 안내) | 2026-04-20: 주권매매거래정지기간변경              (상장적격성 실질심사 대상(사유발생)) | 2026-04-20: 불성실공시법인지정              (공시불이행 2건),10
동성제약,002210,-90,🚨 YES,[기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),[기재정정]단일판매ㆍ공급계약체결              (+5),[기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20),2026-05-11: 기타경영사항(자율공시)               | 2026-05-06: [기재정정]사업보고서 (2025.12) | 2026-05-06: [기재정정]사업보고서 (2024.12) | 2026-05-06: [기재정정]사업보고서 (2023.12) | 2026-05-06: 회생절차종결신청              ,20
