종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
한국유니온제약,080720,-190,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-06-16: [기재정정]주요사항보고서(유상증자결정) | 2026-06-16: [기재정정]주요사항보고서(감자결정) | 2026-06-16: [기재정정]주요사항보고서(유상증자결정) | 2026-06-15: [기재정정]주주총회소집공고 | 2026-06-15: [기재정정]주주총회소집결의              (임시주주총회),24
알엔티엑스,123010,-120,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-16: [기재정정]주주명부폐쇄기간또는기준일설정               | 2026-06-15: 본점소재지변경               | 2026-06-15: [기재정정]주주총회소집결의              (임시주주총회) | 2026-06-11: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-11: [기재정정]주요사항보고서(전환사채권발행결정),31
플루토스,019570,-115,🚨 YES,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(감자결정)",,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15)","2026-06-18: 증권발행결과(자율공시)               | 2026-06-12: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-06-10: 주요사항보고서(전환사채권발행결정) | 2026-06-10: 주식등의대량보유상황보고서(약식) | 2026-06-05: 주식등의대량보유상황보고서(약식)",18
엠젠솔루션,032790,-105,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [첨부정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30),2026-06-15: 대표이사변경               | 2026-06-15: [기재정정]주요사항보고서(자기전환사채매도결정) | 2026-06-09: 증권발행결과(자율공시)              (제24회차 CB) | 2026-06-09: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-05: [첨부정정]주요사항보고서(전환사채권발행결정),10
모바일어플라이언스,087260,-100,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경              (-5) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설)(-25) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설)(-25) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-18: [기재정정]의결권대리행사권유참고서류 | 2026-06-16: [기재정정]의결권대리행사권유참고서류 | 2026-06-16: 의결권대리행사권유참고서류 | 2026-06-15: 소송등의제기ㆍ신청(경영권분쟁소송)               | 2026-06-15: 의결권대리행사권유참고서류,25
EDGC,245620,-100,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-06-15: 주주총회소집공고 | 2026-06-11: [기재정정]주주총회소집결의              (임시주주총회) | 2026-05-26: [기재정정]주요사항보고서(유상증자결정) | 2026-05-26: [기재정정]주요사항보고서(감자결정) | 2026-05-26: [기재정정]주요사항보고서(유상증자결정),8
씨씨에스,066790,-95,🚨 YES,[기재정정]주요사항보고서(감자결정) | [첨부정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(감자결정),,[기재정정]주요사항보고서(감자결정)(-20) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | [첨부정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5),2026-06-16: [기재정정]소송등의제기ㆍ신청(경영권분쟁소송)              (임시주주총회 개최금지 가처분) | 2026-06-16: 주주명부폐쇄기간또는기준일설정               | 2026-06-16: 주주총회소집결의              (임시주주총회) | 2026-06-15: [기재정정]의결권대리행사권유참고서류 | 2026-06-12: 소송등의제기ㆍ신청(경영권분쟁소송)              (임시총회소집허가 신청),46
오에스피,368970,-90,🚨 YES,[첨부추가]주요사항보고서(유상증자결정) | 주권매매거래정지              (무상증자) | 주권매매거래정지해제              (액면병합 주권 변경상장),,[첨부추가]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지              (무상증자)(-30) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30) | 주요사항보고서(유상증자결정)(-15),2026-06-18: 권리락              (무상증자) | 2026-06-16: [첨부추가]주요사항보고서(유상증자결정) | 2026-06-16: 주주명부폐쇄기간또는기준일설정               | 2026-06-16: 주주총회소집결의              (임시주주총회) | 2026-06-05: 주식등의대량보유상황보고서(약식),13
티에스넥스젠,043220,-90,🚨 YES,주권매매거래정지              (투자자 보호) | 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시) | 주권매매거래정지기간변경              (회생절차 개시신청),,주권매매거래정지              (투자자 보호)(-30) | 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시)(-30) | 주권매매거래정지기간변경              (회생절차 개시신청)(-30),2026-06-09: 주권매매거래정지              (투자자 보호) | 2026-06-09: 기타시장안내              (정리매매 보류 관련) | 2026-06-09: 기타경영사항(자율공시)              (상장폐지결정 효력정지 가처분 신청) | 2026-06-08: 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시) | 2026-06-08: 기타시장안내              (기업심사위원회 심의·의결 결과 안내),9
CS,065770,-90,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [첨부정정]주요사항보고서(전환사채권발행결정) | [첨부정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30),2026-06-01: 대표이사변경               | 2026-05-29: 증권발행결과(자율공시)               | 2026-05-28: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-26: [첨부정정]주요사항보고서(전환사채권발행결정) | 2026-05-22: [첨부정정]주요사항보고서(전환사채권발행결정),7
우성머티리얼스,011300,-90,🚨 YES,[첨부정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(유상증자결정),,[첨부정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정),14
블루산업개발,006740,-90,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-18: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-06-18: 주식등의대량보유상황보고서(일반) | 2026-06-18: 유상증자또는주식관련사채등의발행결과(자율공시)               | 2026-06-15: 유상증자또는주식관련사채등의발행결과(자율공시)               | 2026-06-12: [기재정정]주요사항보고서(전환사채권발행결정),16
비트플래닛,049470,-90,🚨 YES,[첨부정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-18: [기재정정]주요사항보고서(유형자산양수결정) | 2026-06-17: [첨부정정]주요사항보고서(전환사채권발행결정) | 2026-06-16: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-05: 주요사항보고서(유형자산양수결정) | 2026-06-05: [기재정정]주요사항보고서(전환사채권발행결정),8
소프트센,032680,-75,🚨 YES,주요사항보고서(유상증자결정) | 기타시장안내              (소프트센 1우선주 관리종목지정 우려예고) | 주권매매거래정지해제              (액면병합 주권 변경상장),,주요사항보고서(유상증자결정)(-15) | 기타시장안내              (소프트센 1우선주 관리종목지정 우려예고)(-30) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30),2026-06-05: 주요사항보고서(유상증자결정) | 2026-06-01: 기타시장안내              (소프트센 1우선주 관리종목지정 우려예고) | 2026-05-28: 임원ㆍ주요주주특정증권등거래계획보고서 | 2026-05-22: 주권매매거래정지해제              (액면병합 주권 변경상장),4
파이온엑스,900100,-75,🚨 YES,"[첨부정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",,"[첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15)",2026-06-16: [첨부정정]주요사항보고서(전환사채권발행결정) | 2026-06-15: [기재정정]주주총회소집결의               | 2026-06-08: 조회공시요구(현저한시황변동)에대한답변(미확정)               | 2026-05-29: 분기보고서 (2026.03) | 2026-05-28: [기재정정]주요사항보고서(전환사채권발행결정),7
테라사이언스,073640,-75,🚨 YES,주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-18: 주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정) | 2026-06-12: [기재정정]주요사항보고서(유상증자결정) | 2026-06-09: [기재정정]타법인주식및출자증권처분결정(자율공시)               | 2026-06-09: [기재정정]타법인주식및출자증권처분결정              ,12
코이즈,121850,-72,🚨 YES,[첨부정정]주요사항보고서(전환사채권발행결정) | 기타시장안내(관리종목지정우려종목)              (시가총액 150억원 미달) | [기재정정]주요사항보고서(전환사채권발행결정),유형자산취득결정(종속회사의주요경영사항)              (+3),[첨부정정]주요사항보고서(전환사채권발행결정)(-15) | 기타시장안내(관리종목지정우려종목)              (시가총액 150억원 미달)(-30) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15),2026-06-15: 기업설명회(IR)개최               | 2026-06-09: 주식등의대량보유상황보고서(약식) | 2026-06-09: 주식등의대량보유상황보고서(약식) | 2026-06-01: 증권발행결과(자율공시)              (제3회차 CB) | 2026-05-28: [첨부정정]주요사항보고서(전환사채권발행결정),10
모아데이타,288980,-70,🚨 YES,[첨부정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-18: [기재정정]주주총회소집결의              (임시주주총회) | 2026-06-18: 증권발행결과(자율공시)               | 2026-06-16: [첨부정정]주요사항보고서(전환사채권발행결정) | 2026-06-15: [기재정정]기타경영사항(자율공시)              (제8회 신주인수권부사채(BW) 취득 후 재매각) | 2026-06-15: [기재정정]주요사항보고서(자기전환사채매도결정),18
