종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
CSA 코스믹,083660,-172,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),[기재정정]주식분할결정              (+3),"[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30)",2026-07-15: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-07-15: [기재정정]주요사항보고서(유상증자결정) | 2026-07-15: [기재정정]주요사항보고서(유상증자결정) | 2026-07-15: [기재정정]주식매수선택권부여에관한신고 | 2026-07-10: [기재정정]주요사항보고서(전환사채권발행결정),16
에이프로젠,007460,-165,🚨 YES,주요사항보고서(유상증자결정)(자회사의 주요경영사항)               | 주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정),,주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (-15),2026-07-16: [기재정정]주식매수선택권부여에관한신고 | 2026-07-16: 주식등의대량보유상황보고서(일반) | 2026-07-14: 주요사항보고서(유상증자결정)(자회사의 주요경영사항)               | 2026-07-13: 주요사항보고서(전환사채권발행결정) | 2026-07-07: [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정),18
블루산업개발,006740,-150,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-07-16: 주식등의대량보유상황보고서(일반) | 2026-07-13: [기재정정]주요사항보고서(유상증자결정) | 2026-07-13: [기재정정]주요사항보고서(유상증자결정) | 2026-07-13: [기재정정]주요사항보고서(유상증자결정) | 2026-07-08: 주요사항보고서(전환사채권발행결정),26
알엔티엑스,123010,-140,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-07-16: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-07-16: [기재정정]주요사항보고서(유상증자결정) | 2026-07-16: [기재정정]주요사항보고서(유상증자결정) | 2026-07-16: [기재정정]주주총회소집공고 | 2026-07-16: [기재정정]주식매수선택권부여에관한신고,22
한국유니온제약,080720,-100,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-07-14: [기재정정]주요사항보고서(유상증자결정) | 2026-07-14: [기재정정]주요사항보고서(감자결정) | 2026-07-14: [기재정정]주요사항보고서(유상증자결정) | 2026-07-08: [기재정정]주요사항보고서(감자결정) | 2026-07-08: [기재정정]주요사항보고서(유상증자결정),8
이렘,009730,-100,🚨 YES,주권매매거래정지해제              (감자 주권 변경상장) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,주권매매거래정지해제              (감자 주권 변경상장)(-30) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-07-14: 주권매매거래정지해제              (감자 주권 변경상장) | 2026-07-14: [기재정정]감자완료               | 2026-07-14: [기재정정]주요사항보고서(감자결정) | 2026-07-09: [기재정정]증권신고서(지분증권) | 2026-07-09: [기재정정]주요사항보고서(유상증자결정),12
피엔티엠에스,257370,-95,🚨 YES,[기재정정]횡령ㆍ배임혐의발생               | [기재정정]횡령ㆍ배임혐의발생               | 횡령ㆍ배임혐의발생              ,[기재정정]단일판매ㆍ공급계약체결              (+5),[기재정정]횡령ㆍ배임혐의발생              (-25) | [기재정정]횡령ㆍ배임혐의발생              (-25) | 횡령ㆍ배임혐의발생              (-25) | 횡령ㆍ배임혐의발생              (-25),2026-07-10: [기재정정]횡령ㆍ배임혐의발생               | 2026-07-09: 횡령ㆍ배임혐의발생               | 2026-06-19: [기재정정]단일판매ㆍ공급계약체결              ,3
에스아이리소스,065420,-95,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수),,[기재정정]주요사항보고서(유상증자결정)(-15) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수)(-25) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수)(-25) | 주권매매거래정지해제              (풍문 등 조회결과 공시)(-30),2026-07-16: [기재정정]주식병합결정              (주식병합결정(정정)) | 2026-07-16: [기재정정]증권발행결과(자율공시)               | 2026-07-16: [기재정정]주요사항보고서(유상증자결정) | 2026-07-15: 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수) | 2026-07-15: 대표이사변경              ,9
비비안,002070,-90,🚨 YES,매매거래정지및정지해제(중요내용공시)               | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,매매거래정지및정지해제(중요내용공시)              (-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15),2026-07-15: 주주총회소집공고 | 2026-07-15: [기재정정]주주총회소집결의               | 2026-07-15: 주요사항보고서(무상증자결정) | 2026-07-15: 매매거래정지및정지해제(중요내용공시)               | 2026-07-15: [기재정정]주요사항보고서(유상증자결정),8
다보링크,340360,-90,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-07-16: [기재정정]주요사항보고서(유상증자결정) | 2026-07-16: 주요사항보고서(전환사채권발행결정) | 2026-07-14: 의결권대리행사권유참고서류 | 2026-07-13: [기재정정]소액공모공시서류(지분증권) | 2026-07-13: [기재정정]주요사항보고서(유상증자결정),22
