종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
CSA 코스믹,083660,-172,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),[기재정정]주식분할결정              (+3),"[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30)",2026-07-20: 감자완료               | 2026-07-15: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-07-15: [기재정정]주요사항보고서(유상증자결정) | 2026-07-15: [기재정정]주요사항보고서(유상증자결정) | 2026-07-15: [기재정정]주식매수선택권부여에관한신고,17
에이프로젠,007460,-150,🚨 YES,주요사항보고서(유상증자결정)(자회사의 주요경영사항)               | 주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정),,주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (-15),2026-07-16: [기재정정]주식매수선택권부여에관한신고 | 2026-07-16: 주식등의대량보유상황보고서(일반) | 2026-07-14: 주요사항보고서(유상증자결정)(자회사의 주요경영사항)               | 2026-07-13: 주요사항보고서(전환사채권발행결정) | 2026-07-07: [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정),16
블루산업개발,006740,-150,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-07-16: 주식등의대량보유상황보고서(일반) | 2026-07-13: [기재정정]주요사항보고서(유상증자결정) | 2026-07-13: [기재정정]주요사항보고서(유상증자결정) | 2026-07-13: [기재정정]주요사항보고서(유상증자결정) | 2026-07-08: 주요사항보고서(전환사채권발행결정),24
알엔티엑스,123010,-140,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-07-16: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-07-16: [기재정정]주요사항보고서(유상증자결정) | 2026-07-16: [기재정정]주요사항보고서(유상증자결정) | 2026-07-16: [기재정정]주주총회소집공고 | 2026-07-16: [기재정정]주식매수선택권부여에관한신고,20
에스아이리소스,065420,-105,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수),[기재정정]단일판매ㆍ공급계약체결              (+5),[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수)(-25) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수)(-25) | 주권매매거래정지해제              (풍문 등 조회결과 공시)(-30),2026-07-20: [기재정정]단일판매ㆍ공급계약체결               | 2026-07-20: 기타주요경영사항              (소액공모 제3자배정 유상증자 결정 철회) | 2026-07-20: [기재정정]주요사항보고서(유상증자결정) | 2026-07-16: [기재정정]주식병합결정              (주식병합결정(정정)) | 2026-07-16: [기재정정]증권발행결과(자율공시)              ,12
피엔티엠에스,257370,-100,🚨 YES,[기재정정]횡령ㆍ배임혐의발생               | [기재정정]횡령ㆍ배임혐의발생               | 횡령ㆍ배임혐의발생              ,,[기재정정]횡령ㆍ배임혐의발생              (-25) | [기재정정]횡령ㆍ배임혐의발생              (-25) | 횡령ㆍ배임혐의발생              (-25) | 횡령ㆍ배임혐의발생              (-25),2026-07-10: [기재정정]횡령ㆍ배임혐의발생               | 2026-07-09: 횡령ㆍ배임혐의발생              ,2
한국유니온제약,080720,-100,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-07-21: 대표이사변경               | 2026-07-21: [기재정정]감자완료               | 2026-07-21: 임시주주총회결과               | 2026-07-14: [기재정정]주요사항보고서(유상증자결정) | 2026-07-14: [기재정정]주요사항보고서(감자결정),11
이렘,009730,-100,🚨 YES,주권매매거래정지해제              (감자 주권 변경상장) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,주권매매거래정지해제              (감자 주권 변경상장)(-30) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-07-21: 정정신고서제출요구( 2026.07.09. 제출 증권신고서(지분증권) ) | 2026-07-14: 주권매매거래정지해제              (감자 주권 변경상장) | 2026-07-14: [기재정정]감자완료               | 2026-07-14: [기재정정]주요사항보고서(감자결정) | 2026-07-09: [정정제출요구][기재정정]증권신고서(지분증권),13
제이에스링크,127120,-90,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-07-21: [기재정정]주요사항보고서(유상증자결정) | 2026-07-15: [기재정정]주요사항보고서(유상증자결정) | 2026-07-07: 기업설명회(IR)개최               | 2026-07-07: 주요사항보고서(유상증자결정) | 2026-07-01: 주식등의대량보유상황보고서(약식),12
이엠티,232530,-90,🚨 YES,주권매매거래정지해제              (상장폐지사유 미해당) | 기타시장안내              (사업보고서 제출 및 매매거래정지 해제 안내) | 주권매매거래정지              (사업보고서 미제출),,주권매매거래정지해제              (상장폐지사유 미해당)(-30) | 기타시장안내              (사업보고서 제출 및 매매거래정지 해제 안내)(-30) | 주권매매거래정지              (사업보고서 미제출)(-30),2026-07-10: 정기주주총회결과               | 2026-07-09: 주권매매거래정지해제              (상장폐지사유 미해당) | 2026-07-09: 기타시장안내              (사업보고서 제출 및 매매거래정지 해제 안내) | 2026-07-09: 사업보고서 (2026.03) | 2026-07-09: 감사보고서제출              ,10
