종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
블루산업개발,006740,-195,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-05-15: 분기보고서 (2026.03) | 2026-05-15: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-14: 주주총회소집결의               | 2026-05-14: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-14: 주주명부폐쇄기간또는기준일설정              ,18
알엔티엑스,123010,-175,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15),2026-05-15: 분기보고서 (2026.03) | 2026-05-15: 주주총회소집공고 | 2026-05-14: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-05-14: [기재정정]주주총회소집결의              (임시주주총회) | 2026-05-14: [기재정정]주요사항보고서(자기전환사채매도결정),29
아이톡시,052770,-165,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | 기타주요경영사항              (소액공모 제3자배정 유상증자결정 철회) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | 기타주요경영사항              (소액공모 제3자배정 유상증자결정 철회)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-05-15: 소액공모실적보고서 | 2026-05-15: [기재정정]소액공모공시서류(지분증권) | 2026-05-15: [기재정정]주요사항보고서(유상증자결정) | 2026-05-15: 기타주요경영사항              (소액공모 제3자배정 유상증자결정 철회) | 2026-05-15: [기재정정]주요사항보고서(유상증자결정),18
한울앤제주,276730,-105,🚨 YES,주요사항보고서(유상증자결정) | 주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정),,주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지해제              (감자 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-05-15: 주식등의대량보유상황보고서(일반) | 2026-05-14: 주식등의대량보유상황보고서(약식) | 2026-05-13: 주식등의대량보유상황보고서(약식) | 2026-05-12: 주식등의대량보유상황보고서(약식) | 2026-05-11: 주식등의대량보유상황보고서(일반),21
한국앤컴퍼니,000240,-97,🚨 YES,횡령ㆍ배임사실확인(자회사의 주요경영사항)               | 횡령ㆍ배임사실확인(자회사의 주요경영사항)               | 횡령ㆍ배임사실확인              ,연결재무제표기준영업(잠정)실적(공정공시)              (+3),횡령ㆍ배임사실확인(자회사의 주요경영사항)              (-25) | 횡령ㆍ배임사실확인(자회사의 주요경영사항)              (-25) | 횡령ㆍ배임사실확인              (-25) | 횡령ㆍ배임사실확인              (-25),2026-05-15: 분기보고서 (2026.03) | 2026-05-14: 특수관계인에대한출자 | 2026-05-13: 연결재무제표기준영업(잠정)실적(공정공시)               | 2026-05-08: 횡령ㆍ배임사실확인(자회사의 주요경영사항)               | 2026-05-08: 횡령ㆍ배임사실확인              ,7
엑시온그룹,069920,-95,🚨 YES,기타주요경영사항              (유상증자결정(제3자배정) 철회) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,기타주요경영사항              (유상증자결정(제3자배정) 철회)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지해제              (감자 주권 변경상장)(-30) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5),2026-05-15: 분기보고서 (2026.03) | 2026-05-12: 기타주요경영사항              (유상증자결정(제3자배정) 철회) | 2026-05-12: [기재정정]주요사항보고서(유상증자결정) | 2026-05-07: 주주총회소집공고 | 2026-05-04: [기재정정]주주총회소집결의              (임시주주총회),12
동성제약,002210,-90,🚨 YES,[기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(감자결정),[기재정정]단일판매ㆍ공급계약체결              (+5),[기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-05-15: [기재정정]주주명부폐쇄기간또는기준일설정               | 2026-05-15: [기재정정]주주총회소집결의               | 2026-05-15: 회생절차종결결정               | 2026-05-15: 소송등의제기ㆍ신청(일정금액이상의청구)               | 2026-05-15: 분기보고서 (2026.03),20
캔버스엔,210120,-90,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-05-15: 대표이사변경               | 2026-05-15: 투자판단관련주요경영사항              (경영지배인 해임의 건) | 2026-05-14: 분기보고서 (2026.03) | 2026-05-14: 소송등의제기ㆍ신청(경영권분쟁소송)              (주주총회결의 부존재확인 등 청구의 소) | 2026-05-14: 소송등의제기ㆍ신청(경영권분쟁소송)              (주주총회결의 효력정지 가처분),21
딥커머스,900110,-90,🚨 YES,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | [기재정정]주권매매거래정지               | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | [기재정정]주권매매거래정지              (-30) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30)","2026-05-14: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-05-06: [기재정정]주권매매거래정지               | 2026-05-06: [기재정정]주식병합결정               | 2026-04-30: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-04-29: 사업보고서 (2025.12)",8
유니포인트,121060,-80,🚨 YES,"주권매매거래정지해제              (감자 주권 변경상장) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | [기재정정]주요사항보고서(감자결정)",,"주권매매거래정지해제              (감자 주권 변경상장)(-30) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | [기재정정]주요사항보고서(감자결정)(-20)","2026-05-15: 주권매매거래정지해제              (감자 주권 변경상장) | 2026-05-13: 기업설명회(IR)개최결과               | 2026-05-08: 감자완료               | 2026-04-24: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-04-24: [기재정정]주요사항보고서(감자결정)",8
