종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
모아라이프플러스,142760,-165,🚨 YES,주권매매거래정지해제              (액면병합 주권 변경상장) | [기재정정]주요사항보고서(전환사채권발행결정) | [첨부정정]주요사항보고서(전환사채권발행결정),,주권매매거래정지해제              (액면병합 주권 변경상장)(-30) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5),2026-09-02: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-02: 주식등의대량보유상황보고서(일반) | 2026-09-02: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-08-28: 주권매매거래정지해제              (액면병합 주권 변경상장) | 2026-08-27: [기재정정]최대주주변경을수반하는주식담보제공계약체결              ,17
한국첨단소재,062970,-160,🚨 YES,주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정) | 주권매매거래정지해제              (우회상장 미해당),,주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경              (-5) | 주권매매거래정지해제              (우회상장 미해당)(-30) | 최대주주변경              (-5),2026-09-02: 주요사항보고서(전환사채권발행결정) | 2026-09-02: 주요사항보고서(전환사채권발행결정) | 2026-09-02: 주식등의대량보유상황보고서(일반) | 2026-09-02: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-02: 임원ㆍ주요주주특정증권등소유상황보고서,25
아이큐어,175250,-155,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | 주권매매거래정지해제              (상장유지 결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]최대주주변경              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지해제              (상장유지 결정)(-30) | 최대주주변경을수반하는주식담보제공계약해제ㆍ취소등              (-5) | [기재정정]최대주주변경              (-5),2026-09-03: 기타경영사항(자율공시)              (최대주주 보유주식의 자발적 의무보유 시행) | 2026-09-03: [기재정정]최대주주변경               | 2026-09-03: [기재정정]주요사항보고서(유상증자결정) | 2026-09-03: [기재정정]증권발행결과(자율공시)              (제3자배정유상증자) | 2026-09-02: 주권매매거래정지해제              (상장유지 결정),27
애드바이오텍,179530,-150,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-03: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-03: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-03: [기재정정]주요사항보고서(자기전환사채매도결정) | 2026-09-01: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-01: [기재정정]주요사항보고서(전환사채권발행결정),17
CSA 코스믹,083660,-150,🚨 YES,주권매매거래정지해제              (액면분할 주권 변경상장) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정),,주권매매거래정지해제              (액면분할 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-03: 주식등의대량보유상황보고서(약식) | 2026-08-31: 증권발행결과(자율공시)              (제3자배정 유상증자) | 2026-08-27: [기재정정]주주총회소집결의              (임시주주총회) | 2026-08-27: 대표이사변경               | 2026-08-25: 주권매매거래정지해제              (액면분할 주권 변경상장),15
다보링크,340360,-140,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),단일판매ㆍ공급계약체결              (+5),최대주주변경을수반하는주식담보제공계약해제ㆍ취소등              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-03: 주주총회소집공고 | 2026-09-03: 주식등의대량보유상황보고서(일반) | 2026-09-03: 최대주주변경을수반하는주식담보제공계약해제ㆍ취소등               | 2026-09-02: 주식등의대량보유상황보고서(일반) | 2026-09-01: [기재정정]주주총회소집결의              (임시주주총회),24
본느,226340,-125,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | 횡령ㆍ배임혐의발생              (-25),2026-09-03: [기재정정]주요사항보고서(소송등의제기) | 2026-09-03: 주요사항보고서(소송등의제기) | 2026-09-03: 주요사항보고서(소송등의제기) | 2026-09-01: [기재정정]주요사항보고서(유상증자결정) | 2026-09-01: 소송등의판결ㆍ결정              (신주발행금지 등 가처분),25
한국유니온제약,080720,-115,🚨 YES,주권매매거래정지기간변경              (투자자 보호) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,주권매매거래정지기간변경              (투자자 보호)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-01: 주주총회소집결의              (임시주주총회) | 2026-09-01: 주주명부폐쇄기간또는기준일설정               | 2026-08-31: 기타시장안내              (관리종목 지정 사유 일부 해제 관련 시장조치 미진행) | 2026-08-31: 회생절차종결결정               | 2026-08-27: 주권매매거래정지기간변경              (투자자 보호),14
모아데이타,288980,-110,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(유상증자결정),,[기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5),2026-09-03: [기재정정]최대주주변경을수반하는주식담보제공계약체결               | 2026-09-01: [기재정정]최대주주변경을수반하는주식담보제공계약체결               | 2026-08-31: 투자판단관련주요경영사항              (경영지배인 선임) | 2026-08-31: [기재정정]최대주주변경을수반하는주식담보제공계약체결               | 2026-08-28: 주식등의대량보유상황보고서(약식),37
KS인더스트리,101000,-110,🚨 YES,"기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | [기재정정]주요사항보고서(감자결정)",,"기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달)(-30) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달)(-30) | [기재정정]주요사항보고서(감자결정)(-20) | 주권매매거래정지해제              (감자 주권 변경상장)(-30)","2026-09-01: 기타경영사항(자율공시)              (자기사채(제18회차 무기명식 이권부 무보증 사모 전환사채) 소각 결정의 건) | 2026-08-28: 기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 2026-08-28: 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | 2026-08-28: 주요사항보고서(자기전환사채만기전취득결정) | 2026-08-28: [기재정정]금전대여결정              ",15
