종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
엔씨소프트,036570,-40,🚨 YES,[기재정정]유상증자결정(종속회사의주요경영사항)               | 유상증자결정(종속회사의주요경영사항)              ,,[기재정정]유상증자결정(종속회사의주요경영사항)              (-15) | 유상증자결정(종속회사의주요경영사항)              (-15) | 주요사항보고서(자기주식처분결정)(-10),2026-05-08: 기업설명회(IR)개최(안내공시)               | 2026-04-28: 최대주주등소유주식변동신고서               | 2026-04-28: 자기주식처분결과보고서 | 2026-04-23: [기재정정]타법인주식및출자증권취득결정(종속회사의주요경영사항)               | 2026-04-23: [기재정정]투자판단관련주요경영사항              ,14
큐로셀,372320,-30,🚨 YES,주요사항보고서(유상증자결정) | 주요사항보고서(전환사채권발행결정),,주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15),2026-05-07: 주식등의대량보유상황보고서(약식) | 2026-04-29: 투자판단관련주요경영사항              (림카토주(안발셀) 식품의약품안전처 품목허가 승인) | 2026-04-27: 증권발행결과(자율공시)               | 2026-04-27: 증권발행결과(자율공시)               | 2026-04-17: 주요사항보고서(유상증자결정),11
씨젠,096530,-17,OK,,연결재무제표기준영업(잠정)실적(공정공시)              (+3),주요사항보고서(자기주식처분결정)(-10) | 주요사항보고서(자기주식처분결정)(-10),2026-05-08: 연결재무제표기준영업(잠정)실적(공정공시)               | 2026-05-06: 중간(분기)배당을위한주주명부폐쇄(기준일)결정               | 2026-05-06: 현금ㆍ현물배당결정               | 2026-05-06: 주요사항보고서(자기주식처분결정) | 2026-05-06: 자기주식처분결과보고서,9
롯데웰푸드,280360,-17,🚨 YES,[기재정정]주요사항보고서(감자결정),연결재무제표기준영업(잠정)실적(공정공시)              (+3),[기재정정]주요사항보고서(감자결정)(-20),2026-05-08: 기업설명회(IR)개최(안내공시)               | 2026-05-08: 연결재무제표기준영업(잠정)실적(공정공시)               | 2026-05-04: 기업설명회(IR)개최(안내공시)               | 2026-04-28: [기재정정]주요사항보고서(감자결정),4
지아이에스,306620,-15,🚨 YES,주요사항보고서(전환사채권발행결정),,주요사항보고서(전환사채권발행결정)(-15),2026-05-08: 주식등의대량보유상황보고서(약식) | 2026-05-07: 주요사항보고서(전환사채권발행결정) | 2026-04-24: 전환가액의조정               | 2026-04-20: [기재정정]전환청구권행사               | 2026-04-17: 전환청구권행사              (제6회차),7
필에너지,475580,-15,🚨 YES,유상증자결정(종속회사의주요경영사항)              ,,유상증자결정(종속회사의주요경영사항)              (-15),2026-04-27: 유상증자결정(종속회사의주요경영사항)               | 2026-04-27: 타법인주식및출자증권취득결정               | 2026-04-27: 타법인주식및출자증권처분결정              ,3
삼성에스디에스,018260,-12,🚨 YES,주요사항보고서(전환사채권발행결정),연결재무제표기준영업(잠정)실적(공정공시)              (+3),주요사항보고서(전환사채권발행결정)(-15),2026-05-04: 주식등의대량보유상황보고서(일반) | 2026-05-04: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-04-30: 유상증자또는주식관련사채등의발행결과(자율공시)               | 2026-04-29: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-04-29: 임원ㆍ주요주주특정증권등소유상황보고서,13
한화솔루션,009830,-12,🚨 YES,[기재정정]주요사항보고서(유상증자결정),연결재무제표기준영업(잠정)실적(공정공시)              (+3),[기재정정]주요사항보고서(유상증자결정)(-15),2026-05-07: 기업설명회(IR)개최(안내공시)               | 2026-04-30: 정정신고서제출요구( 2026.04.17. 제출 증권신고서(지분증권) ) | 2026-04-28: 타인에대한채무보증결정               | 2026-04-28: 기업설명회(IR)개최(안내공시)               | 2026-04-28: 기업설명회(IR)개최(안내공시)              ,15
유진테크,084370,-10,OK,,,주요사항보고서(자기주식처분결정)(-10),2026-05-07: 주식등의대량보유상황보고서(약식) | 2026-05-06: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-05-06: 자기주식처분결과보고서 | 2026-04-29: 주요사항보고서(자기주식처분결정) | 2026-04-28: 주식등의대량보유상황보고서(약식),6
KT,030200,-10,OK,,,[기재정정]주요사항보고서(자기주식처분결정)(-10),2026-05-08: 자기주식처분결과보고서 | 2026-05-04: 기업설명회(IR)개최(안내공시)               | 2026-04-30: 해외증권거래소등에신고한사업보고서등의국내신고               | 2026-04-15: [기재정정]주요사항보고서(자기주식처분결정),4
