종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
디에이치엑스컴퍼니,031860,-190,🚨 YES,주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소) | 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소) | 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소),,주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소)(-25) | 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소)(-25) | 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소)(-30) | 주권매매거래정지기간변경              (풍문 또는 보도 관련)(-30) | 조회공시요구(풍문또는보도)              (현직 임원의 횡령·배임혐의설)(-25),2026-09-07: 주권매매거래정지기간변경              (풍문사유(현직 임원의 횡령·배임혐의설) 미해소) | 2026-09-07: 조회공시요구(풍문또는보도)에대한답변(미확정)               | 2026-09-07: 조회공시요구(현저한시황변동)에대한답변(미확정)               | 2026-09-04: 주권매매거래정지기간변경              (풍문 또는 보도 관련) | 2026-09-04: 조회공시요구(풍문또는보도)              (현직 임원의 횡령·배임혐의설),9
애드바이오텍,179530,-150,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-08: 전환청구권행사               | 2026-09-04: 전환청구권행사               | 2026-09-03: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-03: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-03: [기재정정]주요사항보고서(자기전환사채매도결정),19
아이큐어,175250,-145,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | 주권매매거래정지해제              (상장유지 결정) | [기재정정]주요사항보고서(유상증자결정),,최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]최대주주변경              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지해제              (상장유지 결정)(-30) | 최대주주변경을수반하는주식담보제공계약해제ㆍ취소등              (-5),2026-09-04: 최대주주변경을수반하는주식담보제공계약체결               | 2026-09-04: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-04: 주식등의대량보유상황보고서(일반) | 2026-09-03: 기타경영사항(자율공시)              (최대주주 보유주식의 자발적 의무보유 시행) | 2026-09-03: [기재정정]최대주주변경              ,26
한국첨단소재,062970,-130,🚨 YES,주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정) | 주권매매거래정지해제              (우회상장 미해당),,주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경              (-5) | 주권매매거래정지해제              (우회상장 미해당)(-30) | 최대주주변경              (-5),2026-09-04: 타법인주식및출자증권취득결정               | 2026-09-02: 주요사항보고서(전환사채권발행결정) | 2026-09-02: 주요사항보고서(전환사채권발행결정) | 2026-09-02: 주식등의대량보유상황보고서(일반) | 2026-09-02: 임원ㆍ주요주주특정증권등소유상황보고서,23
다보링크,340360,-125,🚨 YES,주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정),단일판매ㆍ공급계약체결              (+5),주요사항보고서(유상증자결정)(-15) | 최대주주변경을수반하는주식담보제공계약해제ㆍ취소등              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-04: 유상증자최종발행가액확정               | 2026-09-04: 소액공모공시서류(지분증권) | 2026-09-04: 주요사항보고서(유상증자결정) | 2026-09-03: 주주총회소집공고 | 2026-09-03: 주식등의대량보유상황보고서(일반),23
CSA 코스믹,083660,-120,🚨 YES,주권매매거래정지해제              (액면분할 주권 변경상장) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정),,주권매매거래정지해제              (액면분할 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-03: 주식등의대량보유상황보고서(약식) | 2026-08-31: 증권발행결과(자율공시)              (제3자배정 유상증자) | 2026-08-27: [기재정정]주주총회소집결의              (임시주주총회) | 2026-08-27: 대표이사변경               | 2026-08-25: 주권매매거래정지해제              (액면분할 주권 변경상장),14
더코디,224060,-120,🚨 YES,주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | 기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달),,주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-08: [기재정정]주주총회소집공고 | 2026-09-08: [기재정정]주주총회소집결의              (임시주주총회) | 2026-09-08: 주요사항보고서(전환사채권발행결정) | 2026-09-08: [기재정정]주요사항보고서(유상증자결정) | 2026-09-04: 임원ㆍ주요주주특정증권등소유상황보고서,29
모아데이타,288980,-115,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(유상증자결정),,[기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5),2026-09-08: [기재정정]주요사항보고서(자기전환사채만기전취득결정) | 2026-09-07: 주식등의대량보유상황보고서(일반) | 2026-09-07: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-07: [기재정정]최대주주변경을수반하는주식담보제공계약체결               | 2026-09-04: [기재정정]최대주주변경을수반하는주식담보제공계약체결              ,36
본느,226340,-115,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(전환사채권발행결정),,[기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-07: [기재정정]최대주주변경을수반하는주식양수도계약체결               | 2026-09-03: [기재정정]주요사항보고서(소송등의제기) | 2026-09-03: 주요사항보고서(소송등의제기) | 2026-09-03: 주요사항보고서(소송등의제기) | 2026-09-01: [기재정정]주요사항보고서(유상증자결정),22
KS인더스트리,101000,-110,🚨 YES,"기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | [기재정정]주요사항보고서(감자결정)",,"기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달)(-30) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달)(-30) | [기재정정]주요사항보고서(감자결정)(-20) | 주권매매거래정지해제              (감자 주권 변경상장)(-30)","2026-09-08: [기재정정]주주총회소집결의              (임시주주총회) | 2026-09-01: 기타경영사항(자율공시)              (자기사채(제18회차 무기명식 이권부 무보증 사모 전환사채) 소각 결정의 건) | 2026-08-28: 기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 2026-08-28: 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | 2026-08-28: 주요사항보고서(자기전환사채만기전취득결정)",16
서울전자통신,027040,-105,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-08: [기재정정]소액공모공시서류(지분증권) | 2026-09-08: [기재정정]주요사항보고서(유상증자결정) | 2026-09-07: [기재정정]소액공모공시서류(지분증권) | 2026-09-07: [기재정정]주요사항보고서(유상증자결정) | 2026-09-03: [기재정정]소액공모공시서류(지분증권),14
엑시온그룹,069920,-105,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-08: 기타시장안내              (시가총액 미달에 따른 상장폐지 우려 관련 안내) | 2026-09-03: 소액공모공시서류(지분증권) | 2026-09-03: [기재정정]주요사항보고서(유상증자결정) | 2026-09-02: 증권발행결과(자율공시)              (제3자배정 유상증자) | 2026-09-02: [기재정정]주요사항보고서(유상증자결정),19
한국유니온제약,080720,-95,🚨 YES,주권매매거래정지기간변경              (투자자 보호) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,주권매매거래정지기간변경              (투자자 보호)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-01: 주주총회소집결의              (임시주주총회) | 2026-09-01: 주주명부폐쇄기간또는기준일설정               | 2026-08-31: 기타시장안내              (관리종목 지정 사유 일부 해제 관련 시장조치 미진행) | 2026-08-31: 회생절차종결결정               | 2026-08-27: 주권매매거래정지기간변경              (투자자 보호),13
서진시스템,178320,-95,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | 주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15),2026-09-07: 주식등의대량보유상황보고서(일반) | 2026-09-04: 증권발행결과(자율공시)              (제42회차 CB) | 2026-09-04: 증권발행결과(자율공시)              (제41회차 CB) | 2026-09-01: 증권발행결과(자율공시)              (제40회차 CB) | 2026-09-01: 증권발행결과(자율공시)              (제39회차 CB),21
제이케이시냅스,060230,-90,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달)(-30),2026-09-07: 전환가액의조정              (제30회차) | 2026-08-26: [기재정정]주요사항보고서(자기전환사채매도결정) | 2026-08-26: [기재정정]주주총회소집결의              (임시주주총회) | 2026-08-24: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-08-24: [기재정정]주요사항보고서(전환사채권발행결정),16
이오플로우,294090,-90,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | 주권매매거래정지기간변경              (상장폐지 사유 발생),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지기간변경              (상장폐지 사유 발생)(-30) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-09-01: [기재정정]주요사항보고서(유상증자결정) | 2026-09-01: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-01: [기재정정]주요사항보고서(자본으로인정되는채무증권발행결정) | 2026-08-25: 주주명부폐쇄기간또는기준일설정               | 2026-08-25: 주주총회소집결의              (임시주주총회),15
캔버스엔,210120,-90,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-08-27: [기재정정]주주총회소집결의              (임시주주총회) | 2026-08-27: 의결권대리행사권유참고서류 | 2026-08-27: 주주총회소집공고 | 2026-08-27: 의결권대리행사권유참고서류 | 2026-08-27: 주주총회소집공고,18
베노티앤알,206400,-85,🚨 YES,주요사항보고서(감자결정) | 주권매매거래정지              (자본감소) | 기타시장안내(관리종목지정우려종목)              (주가 1000원 미달),,주요사항보고서(감자결정)(-20) | 주권매매거래정지              (자본감소)(-30) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | 기타시장안내(관리종목지정우려종목)              (주가 1000원 미달)(-30),2026-09-07: 주요사항보고서(소송등의제기) | 2026-09-03: 주식등의대량보유상황보고서(일반) | 2026-09-03: 주식등의대량보유상황보고서(일반) | 2026-09-02: 의결권대리행사권유참고서류 | 2026-09-02: 주주총회소집공고,15
코다코,046070,-85,🚨 YES,주권매매거래정지해제              (상장폐지에 따른 정리매매 개시) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,주권매매거래정지해제              (상장폐지에 따른 정리매매 개시)(-30) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-09-08: 주권매매거래정지해제              (상장폐지에 따른 정리매매 개시) | 2026-09-08: 기타시장안내              (상장폐지결정 등 효력정지 가처분 신청 기각에 따른 정리매매절차 재개) | 2026-09-03: [기재정정]주요사항보고서(감자결정) | 2026-09-03: [기재정정]주요사항보고서(유상증자결정) | 2026-08-26: [기재정정]감자완료              ,8
광진실업,026910,-80,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경              (-5) | 최대주주변경을수반하는주식담보제공계약체결              (-5),2026-09-04: [기재정정]의결권대리행사권유참고서류 | 2026-09-04: [기재정정]주주총회소집공고 | 2026-09-04: [기재정정]주요사항보고서(유상증자결정) | 2026-09-04: [기재정정]주주총회소집결의              (임시주주총회) | 2026-08-27: [기재정정]의결권대리행사권유참고서류,27
넥스턴앤롤코리아,089140,-80,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15),2026-09-04: 주식등의대량보유상황보고서(약식) | 2026-09-04: 주식등의대량보유상황보고서(약식) | 2026-08-28: 증권발행결과(자율공시)               | 2026-08-28: 증권발행결과(자율공시)               | 2026-08-28: [기재정정]주요사항보고서(유상증자결정),17
성호전자,043260,-80,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | 주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경을수반하는주식담보제공계약체결              (-5) | 주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15),2026-09-08: 증권발행결과(자율공시)               | 2026-09-08: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-09-01: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-09-01: 주식등의대량보유상황보고서(일반) | 2026-09-01: 기타경영사항(자율공시)              (제14회차 무기명식 이권부 무보증 신주인수권부사채 소각 결정의 건),23
