종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
블루산업개발,006740,-120,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15),2026-06-26: [기재정정]주요사항보고서(유상증자결정) | 2026-06-26: [기재정정]주요사항보고서(유상증자결정) | 2026-06-26: [기재정정]주요사항보고서(유상증자결정) | 2026-06-25: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-06-25: 주식등의대량보유상황보고서(약식),20
에이프로젠,007460,-105,🚨 YES,주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제11회차) | 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제10회차) | 주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정),,주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제11회차)(-15) | 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제10회차)(-15) | 주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (-15),2026-06-26: [기재정정]투자판단관련주요경영사항               | 2026-06-26: 주식등의대량보유상황보고서(일반) | 2026-06-26: 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제11회차) | 2026-06-26: 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제10회차) | 2026-06-25: 주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정),14
제이에스링크,127120,-105,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-26: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-25: 증권발행결과(자율공시)              (제18회차) | 2026-06-25: 증권발행결과(자율공시)              (제17회차) | 2026-06-23: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-23: [기재정정]주요사항보고서(전환사채권발행결정),10
한국유니온제약,080720,-100,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-06-16: [기재정정]주요사항보고서(유상증자결정) | 2026-06-16: [기재정정]주요사항보고서(감자결정) | 2026-06-16: [기재정정]주요사항보고서(유상증자결정) | 2026-06-15: [기재정정]주주총회소집공고 | 2026-06-15: [기재정정]주주총회소집결의              (임시주주총회),13
우성머티리얼스,011300,-90,🚨 YES,[첨부정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(유상증자결정),,[첨부정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정),13
모바일어플라이언스,087260,-85,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경              (-5) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설)(-25) | 조회공시요구(풍문또는보도)              (대표 등 주요 경영진 횡령·배임 피소설)(-25) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-23: [기재정정]의결권대리행사권유참고서류 | 2026-06-18: [기재정정]의결권대리행사권유참고서류 | 2026-06-16: [기재정정]의결권대리행사권유참고서류 | 2026-06-16: 의결권대리행사권유참고서류 | 2026-06-15: 소송등의제기ㆍ신청(경영권분쟁소송)              ,18
알엔티엑스,123010,-85,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-26: [기재정정]최대주주변경을수반하는주식양수도계약체결               | 2026-06-25: [기재정정]주식병합결정               | 2026-06-25: [기재정정]전환청구권행사               | 2026-06-19: 주식등의대량보유상황보고서(약식) | 2026-06-19: 주식등의대량보유상황보고서(일반),27
썸에이지,208640,-75,🚨 YES,"주권매매거래정지해제              (감자 주권 변경상장) | [기재정정]주요사항보고서(유상증자결정) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",,"주권매매거래정지해제              (감자 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30)",2026-06-26: [기재정정]증권신고서(지분증권) | 2026-06-25: [기재정정]증권신고서(지분증권) | 2026-06-22: 주권매매거래정지해제              (감자 주권 변경상장) | 2026-06-19: 임원ㆍ주요주주특정증권등거래계획보고서 | 2026-06-19: 임원ㆍ주요주주특정증권등거래계획보고서,10
소프트센,032680,-75,🚨 YES,기타시장안내(관리종목지정우려종목)              (소프트센 1우선주(거래량 미달)) | 주요사항보고서(유상증자결정) | 기타시장안내              (소프트센 1우선주 관리종목지정 우려예고),,기타시장안내(관리종목지정우려종목)              (소프트센 1우선주(거래량 미달))(-30) | 주요사항보고서(유상증자결정)(-15) | 기타시장안내              (소프트센 1우선주 관리종목지정 우려예고)(-30),2026-06-23: 기타시장안내(관리종목지정우려종목)              (소프트센 1우선주(거래량 미달)) | 2026-06-05: 주요사항보고서(유상증자결정) | 2026-06-01: 기타시장안내              (소프트센 1우선주 관리종목지정 우려예고),3
에이루트,096690,-75,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | 주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-06-26: 주식등의대량보유상황보고서(약식) | 2026-06-26: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-06-26: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-06-26: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-06-26: 주식등의대량보유상황보고서(약식),20
