종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
CSA 코스믹,083660,-172,🚨 YES,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정)",[기재정정]주식분할결정              (+3),"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15)","2026-07-08: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-07-03: [기재정정]주요사항보고서(유상증자결정) | 2026-07-01: 주주명부폐쇄기간또는기준일설정               | 2026-07-01: 주주총회소집결의              (임시주주총회) | 2026-07-01: [기재정정]주요사항보고서(감자결정)",16
알엔티엑스,123010,-170,🚨 YES,[기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정),,"[기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30)","2026-07-08: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-07-08: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-07-08: [기재정정]주요사항보고서(유상증자결정) | 2026-07-08: [기재정정]주요사항보고서(유상증자결정) | 2026-07-01: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",20
블루산업개발,006740,-165,🚨 YES,주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-07-08: 주요사항보고서(전환사채권발행결정) | 2026-07-08: [기재정정]주요사항보고서(유상증자결정) | 2026-07-08: [기재정정]주요사항보고서(유상증자결정) | 2026-07-08: [기재정정]주요사항보고서(유상증자결정) | 2026-07-07: [기재정정]의결권대리행사권유참고서류,30
한국유니온제약,080720,-150,🚨 YES,[기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-07-08: [기재정정]주요사항보고서(감자결정) | 2026-07-08: [기재정정]주요사항보고서(유상증자결정) | 2026-07-08: [기재정정]주요사항보고서(유상증자결정) | 2026-07-06: 주주총회소집공고 | 2026-07-01: 감자완료              ,16
에이프로젠,007460,-135,🚨 YES,[기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정) | [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              ,,[기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (-15) | 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제11회차)(-15) | 주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              (제10회차)(-15),2026-07-07: [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정) | 2026-07-02: 타법인주식및출자증권취득결정(자회사의 주요경영사항)               | 2026-07-01: 주식등의대량보유상황보고서(약식) | 2026-06-29: [기재정정]주요사항보고서(유상증자결정)(자회사의 주요경영사항)              (제3자배정) | 2026-06-29: [기재정정]주요사항보고서(전환사채권발행결정)(자회사의 주요경영사항)              ,15
알파AI,043100,-120,🚨 YES,주권매매거래정지기간변경              (회생절차 개시결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,주권매매거래정지기간변경              (회생절차 개시결정)(-30) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-07-03: 주권매매거래정지기간변경              (회생절차 개시결정) | 2026-07-03: 회생절차개시결정               | 2026-06-30: [기재정정]타법인주식및출자증권취득결정               | 2026-06-30: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-06-30: [기재정정]주요사항보고서(전환사채권발행결정),18
제이에스링크,127120,-120,🚨 YES,주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정) | [기재정정]주요사항보고서(전환사채권발행결정),,주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-07-07: 기업설명회(IR)개최               | 2026-07-07: 주요사항보고서(유상증자결정) | 2026-07-01: 주식등의대량보유상황보고서(약식) | 2026-06-29: 주식등의대량보유상황보고서(일반) | 2026-06-29: 임원ㆍ주요주주특정증권등소유상황보고서,15
플루토스,019570,-105,🚨 YES,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 주권매매거래정지해제              (감자 주권 변경상장) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | 주권매매거래정지해제              (감자 주권 변경상장)(-30) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | 주요사항보고서(전환사채권발행결정)(-15)","2026-07-07: 전환사채(해외전환사채포함)발행후만기전사채취득               | 2026-07-06: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-07-03: 주권매매거래정지해제              (감자 주권 변경상장) | 2026-07-01: 전환사채(해외전환사채포함)발행후만기전사채취득               | 2026-06-25: 주식등의대량보유상황보고서(약식)",11
앱튼,270520,-90,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(전환사채권발행결정)(-15) | 주요사항보고서(유상증자결정)(-15),2026-07-07: 주식등의대량보유상황보고서(약식) | 2026-07-07: [기재정정]주요사항보고서(유상증자결정) | 2026-07-06: 주식등의대량보유상황보고서(약식) | 2026-07-03: 주식등의대량보유상황보고서(약식) | 2026-07-02: 타법인주식및출자증권취득결정              ,13
우성머티리얼스,011300,-90,🚨 YES,[첨부정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(유상증자결정) | [첨부정정]주요사항보고서(유상증자결정),,[첨부정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(유상증자결정)(-15) | [첨부정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [첨부정정]주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정) | 2026-06-18: [기재정정]주요사항보고서(유상증자결정),7
