종목명,종목코드,DART점수,Tier1발동,Tier1,호재내역,악재내역,최근공시,공시건수
한국유니온제약,080720,-240,🚨 YES,[기재정정]주요사항보고서(감자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(감자결정),,[기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(감자결정)(-20),2026-08-04: [기재정정]주요사항보고서(감자결정) | 2026-07-29: [기재정정]주요사항보고서(유상증자결정) | 2026-07-29: [기재정정]주요사항보고서(감자결정) | 2026-07-29: [기재정정]주요사항보고서(유상증자결정) | 2026-07-23: [기재정정]감자완료              ,20
알엔티엑스,123010,-180,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | 주권매매거래정지해제              (액면병합 주권 변경상장) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | 주권매매거래정지해제              (액면병합 주권 변경상장)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15),2026-08-03: [기재정정]주식매수선택권부여에관한신고 | 2026-08-03: 임시주주총회결과               | 2026-08-03: 상호변경안내               | 2026-08-03: [기재정정]본점소재지변경               | 2026-07-31: 임원ㆍ주요주주특정증권등소유상황보고서,27
CSA 코스믹,083660,-150,🚨 YES,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 주권매매거래정지해제              (감자 주권 변경상장) | [기재정정]주요사항보고서(전환사채권발행결정)",,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | 주권매매거래정지해제              (감자 주권 변경상장)(-30) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15)","2026-08-06: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-07-30: 주권매매거래정지해제              (감자 주권 변경상장) | 2026-07-20: 감자완료               | 2026-07-15: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-07-15: [기재정정]주요사항보고서(유상증자결정)",9
에스아이리소스,065420,-135,🚨 YES,"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정)",[기재정정]단일판매ㆍ공급계약체결              (+5),"주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수)(-25) | 투자판단관련주요경영사항              (대표이사 및 사내이사에 대한 횡령·배임 고소 접수)(-25)","2026-08-03: [기재정정]주식병합결정              (주식병합결정(정정)) | 2026-07-27: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-07-22: 소송등의판결ㆍ결정               | 2026-07-20: [기재정정]단일판매ㆍ공급계약체결               | 2026-07-20: 기타주요경영사항              (소액공모 제3자배정 유상증자 결정 철회)",15
블루산업개발,006740,-135,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-08-04: 최대주주등소유주식변동신고서               | 2026-08-04: 주식등의대량보유상황보고서(일반) | 2026-08-04: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-07-31: [기재정정]주요사항보고서(유상증자결정) | 2026-07-24: 주요사항보고서(유상증자결정),14
모아라이프플러스,142760,-125,🚨 YES,"기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)",,"기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달)(-30) | 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달)(-30) | 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소)(-30) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [첨부정정]주요사항보고서(전환사채권발행결정)(-15)","2026-08-05: 기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 2026-08-05: 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | 2026-08-04: 주권매매거래정지              (주식의 병합, 분할 등 전자등록 변경, 말소) | 2026-07-31: 주식등의대량보유상황보고서(일반) | 2026-07-29: 전환가액의조정              ",14
다보링크,340360,-125,🚨 YES,"기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정)",,"기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]최대주주변경을수반하는주식양수도계약체결              (-5) | [기재정정]주요사항보고서(유상증자결정)(-15)","2026-08-06: 기타시장안내(관리종목지정우려종목)              (주가 1,000원 미달) | 2026-08-05: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-08-05: 주식등의대량보유상황보고서(일반) | 2026-08-05: [기재정정]주주총회소집결의              (임시주주총회) | 2026-07-29: 증권발행결과(자율공시)              (제3자배정 유상증자)",21
더코디,224060,-105,🚨 YES,[기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(유상증자결정) | [기재정정]주요사항보고서(전환사채권발행결정),,[기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(전환사채권발행결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15),2026-08-06: [기재정정]주요사항보고서(자기전환사채매도결정) | 2026-07-27: [기재정정]주요사항보고서(유상증자결정) | 2026-07-23: [기재정정]주요사항보고서(유상증자결정) | 2026-07-20: [기재정정]주요사항보고서(전환사채권발행결정) | 2026-07-15: [기재정정]주요사항보고서(유상증자결정),11
피엔티엠에스,257370,-100,🚨 YES,[기재정정]횡령ㆍ배임혐의발생               | [기재정정]횡령ㆍ배임혐의발생               | 횡령ㆍ배임혐의발생              ,,[기재정정]횡령ㆍ배임혐의발생              (-25) | [기재정정]횡령ㆍ배임혐의발생              (-25) | 횡령ㆍ배임혐의발생              (-25) | 횡령ㆍ배임혐의발생              (-25),2026-07-10: [기재정정]횡령ㆍ배임혐의발생               | 2026-07-09: 횡령ㆍ배임혐의발생              ,2
에이전트AI,060900,-90,🚨 YES,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | [기재정정]주요사항보고서(유상증자결정) | 주요사항보고서(유상증자결정),,기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달)(-30) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15) | [기재정정]주요사항보고서(유상증자결정)(-15) | 주요사항보고서(유상증자결정)(-15),2026-08-05: 기타시장안내(관리종목지정우려종목)              (시가총액 200억원 미달) | 2026-07-31: 임원ㆍ주요주주특정증권등소유상황보고서 | 2026-07-31: 주식등의대량보유상황보고서(일반) | 2026-07-30: [기재정정]주요사항보고서(자기전환사채매도결정) | 2026-07-30: [기재정정]주요사항보고서(유상증자결정),14
